trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,aws_link_tabix,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR.x,lambda_gc_MID,filename,filename_tabix,aws_link,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot,lambda_gc_EUR.y,phenotype_qc_EUR,pops_pass_qc,sldsc_25bin_h2_observed_EUR,ICD10_code_new,to_remove_dups
biomarkers,30600,both_sexes,,irnt,Albumin,,,Biological samples > Assay results > Blood assays > Blood biochemistry,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30600-both_sexes-irnt.tsv.bgz.tbi,422605.0,208336.0,179998.0,"AFR,AMR,CSA,EAS,EUR,MID",6.0,5759.0,856.0,7694.0,2340.0,367192.0,1364.0,,,,,,,0.25412,0.11268,0.24111,0.0613,0.064491,0.20459,1.0288,0.9948,1.0115,0.98514,1.3905,1.0028,biomarkers-30600-both_sexes-irnt.tsv.bgz,biomarkers-30600-both_sexes-irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30600-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30600-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30600-both_sexes-irnt.tsv.bgz.tbi,2022481897.0,2170693.0,5a411e0c80afb3467e640385097272b6,82b30fa9fbffa961bbd7f8c9d4caea9a,BI_Albumin_h0.06449_n422605,,0,BI_Albumin_h0.06449,1.37,PASS,"CSA,EUR",0.145,not_required,0
biomarkers,30610,both_sexes,,irnt,Alkaline phosphatase,,,Biological samples > Assay results > Blood assays > Blood biochemistry,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30610-both_sexes-irnt.tsv.bgz.tbi,461525.0,229156.0,194910.0,"AFR,AMR,CSA,EAS,EUR,MID",6.0,6216.0,938.0,8422.0,2572.0,400988.0,1497.0,,,,,,,0.28471,0.202,0.39193,0.0,0.13053,0.73608,1.0258,0.99795,1.0664,0.96666,1.7025,1.0332,biomarkers-30610-both_sexes-irnt.tsv.bgz,biomarkers-30610-both_sexes-irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30610-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30610-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30610-both_sexes-irnt.tsv.bgz.tbi,2024340023.0,2170900.0,e371769e8133a0b2f61a1c2a84a6bc13,2b3b530c457633b0df90fd126f3ee181,BI_Alkaline_phosphatase_h0.13053_n461525,,0,BI_Alkaline_phosphatase_h0.13053,1.67,PASS,"CSA,EUR",0.205,not_required,0
biomarkers,30620,both_sexes,,irnt,Alanine aminotransferase,,,Biological samples > Assay results > Blood assays > Blood biochemistry,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30620-both_sexes-irnt.tsv.bgz.tbi,461326.0,229118.0,194764.0,"AFR,AMR,CSA,EAS,EUR,MID",6.0,6214.0,937.0,8407.0,2570.0,400822.0,1499.0,,,,,,,0.39353,0.0,0.21917,0.1583,0.062796,0.2052,1.0244,0.68012,1.0258,1.0085,1.431,0.98781,biomarkers-30620-both_sexes-irnt.tsv.bgz,biomarkers-30620-both_sexes-irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30620-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30620-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30620-both_sexes-irnt.tsv.bgz.tbi,2024082964.0,2171094.0,2b2cfe22aaeacb6599a472f07d75a741,bde0c8575e2faaf00858d933a612e253,BI_Alanine_aminotransferase_h0.06280_n461326,,0,BI_Alanine_aminotransferase_h0.06280,1.42,PASS,"AFR,CSA,EUR,MID",0.124,not_required,0
biomarkers,30630,both_sexes,,irnt,Apolipoprotein A,,,Biological samples > Assay results > Blood assays > Blood biochemistry,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30630-both_sexes-irnt.tsv.bgz.tbi,420088.0,206413.0,179623.0,"AFR,AMR,CSA,EAS,EUR,MID",6.0,5732.0,846.0,7679.0,2325.0,364987.0,1360.0,,,,,,,0.30678,0.33358,0.35787,0.29058,0.12164,0.4834,1.0134,0.98938,1.047,1.0105,1.6338,0.99278,biomarkers-30630-both_sexes-irnt.tsv.bgz,biomarkers-30630-both_sexes-irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30630-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30630-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30630-both_sexes-irnt.tsv.bgz.tbi,2021592884.0,2170566.0,9a47b6b4ee8a0145bebe27f6a5c532e5,b4024e688c160f39746f05105f0fcfa4,BI_Apolipoprotein_A_h0.12164_n420088,,0,BI_Apolipoprotein_A_h0.12164,1.63,PASS,"CSA,EUR,MID",0.182,not_required,0
biomarkers,30640,both_sexes,,irnt,Apolipoprotein B,,,Biological samples > Assay results > Blood assays > Blood biochemistry,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30640-both_sexes-irnt.tsv.bgz.tbi,459181.0,228338.0,193583.0,"AFR,AMR,CSA,EAS,EUR,MID",6.0,6169.0,932.0,8352.0,2553.0,399003.0,1496.0,,,,,,,0.25469,0.36481,0.22124,0.18561,0.078514,0.0,1.0197,1.0121,1.0259,1.0259,1.3989,0.93302,biomarkers-30640-both_sexes-irnt.tsv.bgz,biomarkers-30640-both_sexes-irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30640-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30640-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30640-both_sexes-irnt.tsv.bgz.tbi,2023988080.0,2171238.0,d0b0fc4e29886d2c317b20999581bf81,99d3dbe0542c17335eb3dce3abf388a1,BI_Apolipoprotein_B_h0.07851_n459181,,0,BI_Apolipoprotein_B_h0.07851,1.46,PASS,"CSA,EUR,MID",0.102,not_required,0
biomarkers,30650,both_sexes,,irnt,Aspartate aminotransferase,,,Biological samples > Assay results > Blood assays > Blood biochemistry,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30650-both_sexes-irnt.tsv.bgz.tbi,459799.0,228328.0,194127.0,"AFR,AMR,CSA,EAS,EUR,MID",6.0,6180.0,933.0,8395.0,2551.0,399482.0,1493.0,,,,,,,0.3148,0.2214,0.1904,0.0,0.072023,0.32104,1.0069,0.97997,1.0039,0.99691,1.4525,0.97557,biomarkers-30650-both_sexes-irnt.tsv.bgz,biomarkers-30650-both_sexes-irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30650-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30650-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30650-both_sexes-irnt.tsv.bgz.tbi,2023969116.0,2170693.0,d70428c2d0c6c0e98e36b30b48f4b693,77191182b4ab1a0cd1f4140c2163246d,BI_Aspartate_aminotransferase_h0.07202_n459799,,0,BI_Aspartate_aminotransferase_h0.07202,1.44,PASS,"CSA,EUR,MID",0.143,not_required,0
biomarkers,30660,both_sexes,,irnt,Direct bilirubin,,,Biological samples > Assay results > Blood assays > Blood biochemistry,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30660-both_sexes-irnt.tsv.bgz.tbi,391906.0,178636.0,181467.0,"AFR,AMR,CSA,EAS,EUR,MID",6.0,5165.0,744.0,6961.0,2159.0,340934.0,1235.0,,,,,,,0.34061,0.0,0.28612,0.16269,0.10424,0.0,1.0254,0.6658,0.99166,1.014,1.4084,1.013,biomarkers-30660-both_sexes-irnt.tsv.bgz,biomarkers-30660-both_sexes-irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30660-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30660-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30660-both_sexes-irnt.tsv.bgz.tbi,2019290123.0,2170139.0,f96467cebbb26dc054bce17f5f9ae2ef,dc86bf4a9af464409c07ab094649eed4,BI_Direct_bilirubin_h0.10424_n391906,,0,BI_Direct_bilirubin_h0.10424,1.38,h2_z_insignificant,,0.057,not_required,0
biomarkers,30670,both_sexes,,irnt,Urea,,,Biological samples > Assay results > Blood assays > Blood biochemistry,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30670-both_sexes-irnt.tsv.bgz.tbi,461200.0,228983.0,194773.0,"AFR,AMR,CSA,EAS,EUR,MID",6.0,6213.0,938.0,8422.0,2569.0,400687.0,1497.0,,,,,,,0.15282,0.0,0.16291,0.13641,0.057758,0.0,1.0253,0.83309,1.0,1.0036,1.4206,0.76392,biomarkers-30670-both_sexes-irnt.tsv.bgz,biomarkers-30670-both_sexes-irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30670-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30670-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30670-both_sexes-irnt.tsv.bgz.tbi,2024142260.0,2171030.0,64018cefdda3dcaae6058f37ca446f85,06fa1afee4cc475f870b6b1331189a88,BI_Urea_h0.05776_n461200,,0,BI_Urea_h0.05776,1.38,not_EUR_plus_1,,0.119,not_required,0
biomarkers,30680,both_sexes,,irnt,Calcium,,,Biological samples > Assay results > Blood assays > Blood biochemistry,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30680-both_sexes-irnt.tsv.bgz.tbi,422461.0,208265.0,179931.0,"AFR,AMR,CSA,EAS,EUR,MID",6.0,5758.0,856.0,7697.0,2344.0,367050.0,1361.0,,,,,,,0.10477,0.0,0.13774,0.0375,0.065663,0.0,1.0365,0.54179,1.0243,0.99768,1.3113,1.0017,biomarkers-30680-both_sexes-irnt.tsv.bgz,biomarkers-30680-both_sexes-irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30680-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30680-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30680-both_sexes-irnt.tsv.bgz.tbi,2022465171.0,2170417.0,d26d152c8b09e97c8d8ef6b9e1567240,25b2f70f9b4730903e4cc8fb30c1ff99,BI_Calcium_h0.06566_n422461,,0,BI_Calcium_h0.06566,1.33,PASS,"CSA,EUR",0.131,not_required,0
biomarkers,30690,both_sexes,,irnt,Cholesterol,,,Biological samples > Assay results > Blood assays > Blood biochemistry,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30690-both_sexes-irnt.tsv.bgz.tbi,461507.0,229127.0,194912.0,"AFR,AMR,CSA,EAS,EUR,MID",6.0,6212.0,938.0,8422.0,2572.0,400963.0,1500.0,,,,,,,0.26085,0.11719,0.22981,0.11579,0.06376,0.0,1.0406,1.0331,1.0297,0.99999,1.4138,0.85933,biomarkers-30690-both_sexes-irnt.tsv.bgz,biomarkers-30690-both_sexes-irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30690-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30690-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30690-both_sexes-irnt.tsv.bgz.tbi,2023817669.0,2171151.0,47d581e6bf95cb92be3d2602900161e9,60600a03be90de07c55b598789cc63da,BI_Cholesterol_h0.06376_n461507,,0,BI_Cholesterol_h0.06376,1.36,PASS,"CSA,EUR",0.108,not_required,0
